,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age Group
0,Avery Bradley,Boston Celtics,0,PG,25,150.3042952247477,180,Texas,7730337.0,20-25
1,Jae Crowder,Boston Celtics,99,SF,25,162.87535059872573,235,Marquette,6796117.0,20-25
2,John Holland,Boston Celtics,30,SG,27,153.85026547118252,205,Boston University,4833969.545861297,26-30
3,R.J. Hunter,Boston Celtics,28,SG,22,150.61793046114917,185,Georgia State,1148640.0,20-25
4,Jonas Jerebko,Boston Celtics,8,PF,29,169.10618666172448,231,Unknown,5000000.0,26-30
5,Amir Johnson,Boston Celtics,90,PF,29,177.13830182484716,240,Unknown,12000000.0,26-30
6,Jordan Mickey,Boston Celtics,55,PF,21,157.90894280916328,235,LSU,1170960.0,20-25
7,Kelly Olynyk,Boston Celtics,41,C,25,162.15691331689618,238,Gonzaga,2165160.0,20-25
8,Terry Rozier,Boston Celtics,12,PG,22,176.61144873046118,190,Louisville,1824360.0,20-25
9,Marcus Smart,Boston Celtics,36,PG,22,172.42927889171244,220,Oklahoma State,3431040.0,20-25
10,Jared Sullinger,Boston Celtics,7,C,24,178.10840517654492,260,Ohio State,2569260.0,20-25
11,Isaiah Thomas,Boston Celtics,4,PG,27,163.7074635093518,185,Washington,6912869.0,26-30
12,Evan Turner,Boston Celtics,11,SG,27,161.27657901306927,220,Ohio State,3425510.0,26-30
13,James Young,Boston Celtics,13,SG,20,152.3142196135839,215,Kentucky,1749840.0,20-25
14,Tyler Zeller,Boston Celtics,44,C,26,178.02315082222543,253,North Carolina,2616975.0,26-30
15,Bojan Bogdanovic,Brooklyn Nets,44,SG,27,168.01664770576372,216,Unknown,3425510.0,26-30
16,Markel Brown,Brooklyn Nets,22,SG,24,152.24794329536437,190,Oklahoma State,845059.0,20-25
17,Wayne Ellington,Brooklyn Nets,21,SG,28,173.85470602475198,200,North Carolina,1500000.0,26-30
18,Rondae Hollis-Jefferson,Brooklyn Nets,24,SG,21,169.86503866034866,220,Arizona,1335480.0,20-25
19,Jarrett Jack,Brooklyn Nets,2,PG,32,167.87777613070716,200,Georgia Tech,6300000.0,31-35
20,Sergey Karasev,Brooklyn Nets,10,SG,22,159.06568591979843,208,Unknown,1599840.0,20-25
21,Sean Kilpatrick,Brooklyn Nets,6,SG,26,159.601495454788,219,Cincinnati,134215.0,26-30
22,Shane Larkin,Brooklyn Nets,0,PG,23,170.95776051306214,175,Miami (FL),1500000.0,20-25
23,Brook Lopez,Brooklyn Nets,11,C,28,175.12737843243264,275,Stanford,19689000.0,26-30
24,Chris McCullough,Brooklyn Nets,1,PF,21,179.88386071427334,200,Syracuse,1140240.0,20-25
